dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,38.067246,14.922717,0.007792,0.779221,38.961039,1948.051948,6.281646
0.020000,38.072127,14.922711,0.012673,0.244055,-26.758267,-3285.965318,6.282044
0.020000,38.081891,14.922704,0.022438,0.488220,12.208226,1948.324675,6.282841
0.020000,38.163157,14.922736,0.103703,4.063259,178.751958,8327.186610,0.000852
0.020000,38.307397,14.922974,0.247944,7.212039,157.439017,-1065.647077,0.002449
0.020000,38.487736,14.923596,0.428284,9.017009,90.248499,-3359.525909,0.004449
0.020000,38.704202,14.924819,0.644753,10.823480,90.323529,3.751513,0.006854
0.020000,38.956829,14.926906,0.897388,12.631746,90.413282,4.487653,0.009667
0.020000,39.245653,14.930164,1.186231,14.442111,90.518254,5.248583,0.012891
0.020000,39.570696,14.934945,1.511310,16.253954,90.592142,3.694444,0.016529
0.020000,39.932026,14.941651,1.872702,18.069599,90.782255,9.505614,0.020585
0.020000,40.329639,14.950727,2.270418,19.885816,90.810858,1.430171,0.025064
0.020000,40.763595,14.962670,2.704538,21.705997,91.009055,9.909858,0.029970
0.020000,41.233929,14.978026,3.175123,23.529278,91.164046,7.749517,0.035307
0.020000,41.740649,14.997388,3.682213,25.354459,91.259048,4.750093,0.041082
0.020000,42.283807,15.021405,4.225902,27.184459,91.500034,12.049317,0.047298
0.020000,42.863390,15.050773,4.806228,29.016329,91.593484,4.672494,0.053961
0.020000,43.479398,15.086243,5.423257,30.851417,91.754401,8.045882,0.061077
0.020000,44.131845,15.128620,6.077078,32.691069,91.982574,11.408636,0.068651
0.020000,44.820666,15.178762,6.767722,34.532207,92.056924,3.717499,0.076687
0.020000,45.545830,15.237582,7.495267,36.377241,92.251701,9.738859,0.085190
0.020000,46.307249,15.306046,8.259758,38.224555,92.365695,5.699707,0.094166
0.020000,47.104822,15.385174,9.061247,40.074442,92.494330,6.431720,0.103617
0.020000,47.938408,15.476041,9.899770,41.926169,92.586374,4.602221,0.113547
0.020000,48.807836,15.579774,10.775365,43.779746,92.678859,4.624225,0.123959
0.020000,49.712871,15.697546,11.688031,45.633272,92.676260,-0.129921,0.134854
0.020000,50.653280,15.830588,12.637804,47.488681,92.770471,4.710536,0.146232
0.020000,51.628718,15.980166,13.624644,49.341979,92.664888,-5.279140,0.158092
0.020000,52.638826,16.147595,14.648534,51.194500,92.626042,-1.942329,0.170433
0.020000,53.683155,16.334221,15.709407,53.043642,92.457133,-8.445408,0.183248
0.020000,54.761215,16.541429,16.807199,54.889628,92.299301,-7.891638,0.196533
0.020000,55.872430,16.770625,17.941805,56.730307,92.033935,-13.268302,0.210278
0.020000,57.016141,17.023230,19.113080,58.563701,91.669710,-18.211239,0.224472
0.020000,58.191627,17.300681,20.320865,60.389296,91.279749,-19.498064,0.239103
0.020000,59.398068,17.604409,21.564951,62.204296,90.750000,-26.487432,0.254153
0.020000,60.634588,17.935842,22.845120,64.008412,90.205772,-27.211396,0.269603
0.020000,61.900190,18.296379,24.161073,65.797695,89.464192,-37.079022,0.285431
0.020000,63.193819,18.687390,25.512505,67.571567,88.693600,-38.529577,0.301611
0.020000,64.514332,19.110198,26.899055,69.327506,87.796911,-44.834432,0.318113
0.020000,65.860515,19.566072,28.320332,71.063855,86.817473,-48.971898,0.334906
0.020000,67.231078,20.056206,29.775899,72.778349,85.724696,-54.638893,0.351953
0.020000,68.624670,20.581715,31.265281,74.469095,84.537306,-59.369498,0.369216
0.020000,70.039880,21.143613,32.787959,76.133908,83.240637,-64.833411,0.386654
0.020000,71.475264,21.742815,34.343392,77.771629,81.886073,-67.728233,0.404221
0.020000,72.929343,22.380117,35.930999,79.380382,80.437627,-72.422288,0.421870
0.020000,74.400625,23.056193,37.550181,80.959092,78.935502,-75.106264,0.439552
0.020000,75.887613,23.771585,39.200309,82.506373,77.364057,-78.572243,0.457216
0.020000,77.388829,24.526700,40.880739,84.021534,75.758048,-80.300421,0.474809
0.020000,78.902825,25.321807,42.590821,85.504073,74.126965,-81.554195,0.492278
0.020000,80.428197,26.157034,44.329891,86.953496,72.471135,-82.791471,0.509570
0.020000,81.963607,27.032370,46.097289,88.369899,70.820149,-82.549312,0.526629
0.020000,83.507790,27.947668,47.892358,89.753460,69.178037,-82.105575,0.543403
0.020000,85.059576,28.902647,49.714451,91.104657,67.559848,-80.909494,0.559839
0.020000,86.617892,29.896901,51.562934,92.424146,65.974489,-79.267940,0.575884
0.020000,88.181781,30.929898,53.437189,93.712763,64.430827,-77.183087,0.591489
0.020000,89.750408,32.000994,55.336620,94.971549,62.939311,-74.575809,0.606604
0.020000,91.323063,33.109438,57.260650,96.201516,61.498333,-72.048881,0.621183
0.020000,92.899174,34.254376,59.208728,97.403899,60.119144,-68.959480,0.635181
0.020000,94.478302,35.434859,61.180323,98.579724,58.791265,-66.393947,0.648553
