dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,41.848327,38.886704,0.007792,0.779221,38.961039,1948.051948,6.282348
0.020000,41.844930,38.886706,0.011189,0.169861,-30.468004,-3471.452170,6.282626
0.020000,41.838133,38.886708,0.017987,0.339861,8.500021,1948.401281,6.283180
0.020000,41.920884,38.886742,0.100738,4.137578,189.885837,9069.290766,0.000828
0.020000,42.031933,38.886896,0.211787,5.552432,70.742704,-5957.156619,0.001941
0.020000,42.170711,38.887262,0.350566,6.938943,69.325548,-70.857812,0.003334
0.020000,42.337193,38.887956,0.517049,8.324186,69.262174,-3.168686,0.005010
0.020000,42.531352,38.889119,0.711212,9.708121,69.196729,-3.272267,0.006971
0.020000,42.753154,38.890915,0.933021,11.090455,69.116727,-4.000092,0.009219
0.020000,43.002565,38.893530,1.182446,12.471245,69.039463,-3.863210,0.011757
0.020000,43.279538,38.897179,1.459442,13.849824,68.928951,-5.525583,0.014589
0.020000,43.584029,38.902097,1.763973,15.226558,68.836709,-4.612103,0.017718
0.020000,43.915968,38.908548,2.095975,16.600094,68.676804,-7.995243,0.021148
0.020000,44.275304,38.916819,2.455406,17.971555,68.573063,-5.187078,0.024884
0.020000,44.661965,38.927225,2.842207,19.340024,68.423457,-7.480299,0.028930
0.020000,45.075862,38.940105,3.256305,20.704888,68.243200,-9.012851,0.033292
0.020000,45.516919,38.955826,3.697641,22.066825,68.096808,-7.319568,0.037975
0.020000,45.985038,38.974784,4.166144,23.425158,67.916657,-9.007561,0.042984
0.020000,46.480105,38.997401,4.661728,24.779175,67.700858,-10.789940,0.048327
0.020000,47.002013,39.024127,5.184320,26.129609,67.521685,-8.958645,0.054010
0.020000,47.550636,39.055444,5.733836,27.475800,67.309573,-10.605627,0.060040
0.020000,48.125823,39.091860,6.310174,28.816903,67.055131,-12.722095,0.066424
0.020000,48.727433,39.133915,6.913252,30.153898,66.849763,-10.268413,0.073169
0.020000,49.355300,39.182180,7.542972,31.486011,66.605669,-12.204690,0.080285
