dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,41.838072,26.636708,0.007792,0.779221,38.961039,1948.051948,6.282348
0.020000,41.838072,26.636708,0.038961,2.337662,77.922078,1948.051948,6.282626
0.020000,41.838072,26.636708,0.101299,3.896104,77.922078,-0.000000,6.283180
0.020000,41.931029,26.636747,0.194805,5.454545,77.922078,0.000000,0.000828
0.020000,42.055706,26.636919,0.319481,7.012987,77.922078,-0.000000,0.001941
0.020000,42.211552,26.637330,0.475325,8.571429,77.922078,0.000000,0.003334
0.020000,42.398564,26.638110,0.662338,10.129870,77.922078,0.000000,0.005010
0.020000,42.616741,26.639417,0.880519,11.688312,77.922078,0.000000,0.006971
0.020000,42.866080,26.641435,1.129870,13.246753,77.922078,-0.000000,0.009219
0.020000,43.146584,26.644377,1.410390,14.805195,77.922078,0.000000,0.011757
0.020000,43.458243,26.648482,1.722078,16.363636,77.922078,-0.000000,0.014589
0.020000,43.801061,26.654020,2.064935,17.922078,77.922078,0.000000,0.017718
0.020000,44.175012,26.661287,2.438961,19.480519,77.922078,0.000000,0.021148
0.020000,44.580100,26.670612,2.844156,21.038961,77.922078,0.000000,0.024884
0.020000,45.016309,26.682351,3.280519,22.597403,77.922078,-0.000000,0.028930
0.020000,45.483611,26.696893,3.748052,24.155844,77.922078,0.000000,0.033292
0.020000,45.981996,26.714658,4.246753,25.714286,77.922078,-0.000000,0.037975
0.020000,46.511434,26.736099,4.776623,27.272727,77.922078,0.000000,0.042984
0.020000,47.071884,26.761703,5.337662,28.831169,77.922078,-0.000000,0.048327
0.020000,47.663316,26.791990,5.929870,30.389610,77.922078,-0.000000,0.054010
0.020000,48.285682,26.827517,6.553247,31.948052,77.922078,0.000000,0.060040
0.020000,48.938914,26.868874,7.207792,33.506494,77.922078,0.000000,0.066424
0.020000,49.622957,26.916692,7.893506,35.064935,77.922078,-0.000000,0.073169
0.020000,50.337734,26.971639,8.610390,36.623377,77.922078,0.000000,0.080285
0.020000,51.083140,27.034420,9.358442,38.181818,77.922078,0.000000,0.087779
0.020000,51.859085,27.105784,10.137662,39.740260,77.922078,0.000000,0.095659
0.020000,52.665445,27.186519,10.948052,41.298701,77.922078,0.000000,0.103935
0.020000,53.502070,27.277455,11.789610,42.857143,77.922078,0.000000,0.112616
0.020000,54.368813,27.379465,12.662338,44.415584,77.922078,-0.000000,0.121711
0.020000,55.265489,27.493468,13.566234,45.974026,77.922078,0.000000,0.131229
0.020000,56.191891,27.620426,14.501299,47.532468,77.922078,0.000000,0.141179
0.020000,57.147789,27.761345,15.467532,49.090909,77.922078,0.000000,0.151572
0.020000,58.132920,27.917278,16.464935,50.649351,77.922078,-0.000000,0.162416
0.020000,59.146994,28.089324,17.493506,52.207792,77.922078,0.000000,0.173721
0.020000,60.189685,28.278629,18.553247,53.766234,77.922078,0.000000,0.185496
0.020000,61.260620,28.486381,19.644156,55.324675,77.922078,-0.000000,0.197749
0.020000,62.359399,28.713818,20.766234,56.883117,77.922078,0.000000,0.210489
0.020000,63.485569,28.962217,21.919481,58.441558,77.922078,0.000000,0.223723
0.020000,64.638629,29.232902,23.103896,60.000000,77.922078,0.000000,0.237457
0.020000,65.818030,29.527235,24.319481,61.558442,77.922078,0.000000,0.251698
0.020000,67.023169,29.846618,25.566234,63.116883,77.922078,0.000000,0.266451
0.020000,68.253382,30.192490,26.844156,64.675325,77.922078,0.000000,0.281718
0.020000,69.507947,30.566320,28.153247,66.233766,77.922078,0.000000,0.297503
0.020000,70.786077,30.969606,29.493506,67.792208,77.922078,0.000000,0.313804
0.020000,72.086917,31.403871,30.864935,69.350649,77.922078,0.000000,0.330620
0.020000,73.409545,31.870654,32.267532,70.909091,77.922078,0.000000,0.347949
0.020000,74.752965,32.371505,33.701299,72.467532,77.922078,0.000000,0.365783
0.020000,76.116111,32.907981,35.166234,74.025974,77.922078,0.000000,0.384114
0.020000,77.497842,33.481634,36.662338,75.584416,77.922078,-0.000000,0.402931
0.020000,78.896945,34.094007,38.189610,77.142857,77.922078,0.000000,0.422220
0.020000,80.312133,34.746621,39.748052,78.701299,77.922078,0.000000,0.441963
0.020000,81.742047,35.440968,41.337662,80.259740,77.922078,-0.000000,0.462142
0.020000,83.185264,36.178502,42.958442,81.818182,77.922078,0.000000,0.482731
0.020000,84.640294,36.960627,44.610390,83.376623,77.922078,0.000000,0.503706
0.020000,86.105587,37.788691,46.293506,84.935065,77.922078,0.000000,0.525037
0.020000,87.579541,38.663972,48.007792,86.493506,77.922078,0.000000,0.546692
0.020000,89.060510,39.587672,49.753247,88.051948,77.922078,0.000000,0.568635
