dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,190.230319,277.728718,0.007863,0.786258,39.312888,1965.644420,3.686877
0.020000,190.227059,277.726741,0.011675,0.190642,-29.780790,-3454.683921,3.686565
0.020000,190.220535,277.722788,0.019303,0.381384,9.537093,1965.894171,3.685943
0.020000,190.205382,277.713629,0.037009,0.885291,25.195333,782.912002,3.685008
0.020000,190.084559,277.640744,0.178113,7.055211,308.496019,14165.034259,3.683761
0.020000,189.933396,277.549847,0.354501,8.819373,88.208108,-11014.395550,3.682199
0.020000,189.751777,277.441061,0.566208,10.585363,88.299505,4.569866,3.680321
0.020000,189.539576,277.314544,0.813262,12.352706,88.367128,3.381142,3.678125
0.020000,189.296666,277.170493,1.095673,14.120569,88.393173,1.302280,3.675608
0.020000,189.022807,277.009078,1.413562,15.894432,88.693156,14.999156,3.672766
0.020000,188.717907,276.830600,1.766859,17.664828,88.519787,-8.668485,3.669598
0.020000,188.381722,276.635310,2.155650,19.439548,88.736020,10.811650,3.666100
0.020000,188.014008,276.423503,2.580003,21.217677,88.906415,8.519762,3.662267
0.020000,187.614521,276.195519,3.039967,22.998216,89.026958,6.027128,3.658096
0.020000,187.183017,275.951741,3.535571,24.780181,89.098257,3.564986,3.653583
0.020000,186.719234,275.692587,4.066848,26.563871,89.184512,4.312756,3.648722
0.020000,186.222820,275.418470,4.633917,28.353442,89.478529,14.700822,3.643510
0.020000,185.693480,275.129886,5.236811,30.144695,89.562677,4.207426,3.637939
0.020000,185.130890,274.827357,5.875584,31.938664,89.698452,6.788713,3.632007
0.020000,184.534699,274.511446,6.550302,33.735873,89.860431,8.098991,3.625707
0.020000,183.904492,274.182728,7.261087,35.539277,90.170176,15.487223,3.619032
0.020000,183.239968,273.841892,8.007922,37.341704,90.121361,-2.440769,3.611980
0.020000,182.540681,273.489601,8.790936,39.150718,90.450708,16.467376,3.604542
0.020000,181.806246,273.126604,9.610181,40.962259,90.577063,6.317732,3.596714
0.020000,181.036249,272.753690,10.465727,42.777303,90.752181,8.755927,3.588491
0.020000,180.230270,272.371697,11.357647,44.596015,90.935629,9.172406,3.579866
0.020000,179.387929,271.981539,12.285958,46.415536,90.976012,2.019142,3.570836
0.020000,178.508764,271.584145,13.250766,48.240380,91.242198,13.309267,3.561395
0.020000,177.592374,271.180526,14.252104,50.066919,91.326990,4.239633,3.551539
0.020000,176.638352,270.771747,15.290014,51.895506,91.429310,5.115987,3.541265
0.020000,175.646280,270.358922,16.364552,53.726910,91.570212,7.045092,3.530569
0.020000,174.615818,269.943248,17.475694,55.557101,91.509553,-3.032947,3.519451
0.020000,173.546561,269.525948,18.623497,57.390107,91.650317,7.038214,3.507908
0.020000,172.438180,269.108325,19.807945,59.222413,91.615266,-1.752567,3.495940
0.020000,171.290349,268.691730,21.029038,61.054635,91.611103,-0.208164,3.483550
0.020000,170.102814,268.277583,22.286717,62.883975,91.467041,-7.203068,3.470740
0.020000,168.875332,267.867349,23.580936,64.710966,91.349504,-5.876866,3.457514
