dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,177.523127,298.675729,0.007863,0.786258,39.312888,1965.644420,3.686877
0.020000,177.526387,298.677706,0.011675,0.190642,-29.780790,-3454.683921,3.686565
0.020000,177.532911,298.681658,0.019303,0.381384,9.537093,1965.894171,3.685943
0.020000,177.537349,298.684345,0.024491,0.259408,-6.098800,-781.794688,3.685008
0.020000,177.442696,298.627247,0.135033,5.527106,263.384906,13474.185340,3.683761
0.020000,177.324324,298.556068,0.273158,6.906216,68.955494,-9721.470599,3.682199
0.020000,177.182177,298.470925,0.438854,8.284802,68.929284,-1.310540,3.680321
0.020000,177.016196,298.371965,0.632096,9.662108,68.865331,-3.197655,3.678125
0.020000,176.826329,298.259369,0.852838,11.037110,68.750071,-5.762964,3.675608
0.020000,176.612443,298.133303,1.101112,12.413716,68.830330,4.012948,3.672766
0.020000,176.374524,297.994033,1.376796,13.784171,68.522746,-15.379227,3.669598
0.020000,176.112450,297.841794,1.679880,15.154211,68.501977,-1.038424,3.666100
0.020000,175.826101,297.676854,2.010336,16.522776,68.428274,-3.685176,3.662267
0.020000,175.515366,297.499520,2.368111,17.888765,68.299421,-6.442619,3.658096
0.020000,175.180142,297.310135,2.753133,19.251105,68.117010,-9.120555,3.653583
0.020000,174.820313,297.109068,3.165328,20.609747,67.932137,-9.243649,3.648722
0.020000,174.435702,296.896688,3.604681,21.967653,67.895268,-1.843451,3.643510
0.020000,174.026181,296.673426,4.071108,23.321329,67.683807,-10.573044,3.637939
0.020000,173.591602,296.439734,4.564535,24.671378,67.502443,-9.068198,3.632007
0.020000,173.131803,296.196094,5.084896,26.018042,67.333208,-8.461768,3.625707
0.020000,172.646575,295.942997,5.632165,27.363475,67.271645,-3.078154,3.619032
0.020000,172.135800,295.681019,6.206207,28.702083,66.930422,-17.061153,3.611980
0.020000,171.599250,295.410711,6.807001,30.039674,66.879549,-2.543631,3.604542
0.020000,171.036742,295.132689,7.434464,31.373173,66.674954,-10.229754,3.596714
0.020000,170.448077,294.847594,8.088533,32.703452,66.513926,-8.051398,3.588491
0.020000,169.833041,294.556098,8.769150,34.030839,66.369334,-7.229632,3.579866
0.020000,169.191454,294.258924,9.476219,35.353447,66.130401,-11.946640,3.570836
0.020000,168.523062,293.956801,10.209721,36.675112,66.083288,-2.355652,3.561395
0.020000,167.827655,293.650512,10.969593,37.993576,65.923156,-8.006565,3.551539
0.020000,167.105004,293.340870,11.755787,39.309732,65.807799,-5.767867,3.541265
0.020000,166.354862,293.028716,12.568286,40.624921,65.759496,-2.415178,3.530569
0.020000,165.577023,292.714945,13.407026,41.936999,65.603887,-7.780448,3.519451
0.020000,164.771215,292.400460,14.272027,43.250062,65.653165,2.463920,3.507908
0.020000,163.937200,292.086213,15.163280,44.562671,65.630406,-1.137957,3.495940
0.020000,163.074716,291.773181,16.080814,45.876673,65.700140,3.486717,3.483550
0.020000,162.183526,291.462382,17.024644,47.191528,65.742744,2.130209,3.470740
0.020000,161.263367,291.154856,17.994832,48.509375,65.892336,7.479604,3.457514
0.020000,160.313983,290.851676,18.991451,49.830943,66.078401,9.303238,3.443879
0.020000,159.335105,290.553939,20.014607,51.157829,66.344291,13.294484,3.429842
0.020000,158.326480,290.262771,21.064418,52.490559,66.636509,14.610879,3.415415
0.020000,157.287830,289.979316,22.141052,53.831698,67.056968,21.022974,3.400609
0.020000,156.218905,289.704746,23.244678,55.181271,67.478615,21.082333,3.385440
0.020000,155.119431,289.440242,24.375520,56.542119,68.042402,28.189365,3.369925
0.020000,153.989149,289.187007,25.533823,57.915139,68.651027,30.431259,3.354084
0.020000,152.827810,288.946252,26.719855,59.301602,69.323124,33.604845,3.337940
0.020000,151.635136,288.719193,27.933950,60.704764,70.158094,41.748497,3.321519
0.020000,150.410892,288.507052,29.176438,62.124386,70.981130,41.151805,3.304849
0.020000,149.154835,288.311051,30.447696,63.562913,71.926354,47.261214,3.287960
0.020000,147.866716,288.132399,31.748145,65.022445,72.976566,52.510581,3.270886
0.020000,146.546325,287.972302,33.078207,66.503074,74.031491,52.746258,3.253664
0.020000,145.193431,287.831941,34.438362,68.007756,75.234081,60.129491,3.236329
0.020000,143.807844,287.712477,35.829089,69.536355,76.429972,59.794548,3.218924
0.020000,142.389371,287.615043,37.250905,71.090812,77.722841,64.643478,3.201488
0.020000,140.937847,287.540733,38.704330,72.671246,79.021677,64.941783,3.184066
0.020000,139.453114,287.490601,40.189908,74.278914,80.383428,68.087555,3.166701
0.020000,137.935042,287.465648,41.708185,75.913854,81.746965,68.176824,3.149438
0.020000,136.383514,287.466823,43.259714,77.576451,83.129877,69.145622,3.132322
0.020000,134.798431,287.495009,44.845048,79.266679,84.511365,69.074396,3.115399
0.020000,133.179713,287.551021,46.464734,80.984322,85.882156,68.539567,3.098712
0.020000,131.527298,287.635595,48.119313,82.728906,87.229195,67.351926,3.082306
0.020000,129.841135,287.749388,49.809310,84.499894,88.549412,66.010849,3.066225
0.020000,128.121187,287.892967,51.535241,86.296540,89.832295,64.144176,3.050509
0.020000,126.367422,288.066807,53.297601,88.117979,91.071942,61.982320,3.035199
0.020000,124.579816,288.271282,55.096864,89.963146,92.258367,59.321273,3.020335
0.020000,122.758339,288.506667,56.933487,91.831171,93.401266,57.144959,3.005953
0.020000,120.902957,288.773129,58.807905,93.720893,94.486094,54.241378,2.992088
0.020000,119.013627,289.070725,60.720530,95.631234,95.517040,51.547300,2.978776
0.020000,117.090283,289.399400,62.671754,97.561225,96.499572,49.126586,2.966046
0.020000,115.132843,289.758986,64.661948,99.509709,97.424187,46.230781,2.953931
0.020000,113.141187,290.149195,66.691470,101.476063,98.317715,44.676368,2.942458
0.020000,111.115169,290.569623,68.760651,103.459072,99.150435,41.636000,2.931656
0.020000,109.061854,291.018117,70.862376,105.086232,81.358008,-889.621331,2.921584
0.020000,106.998695,291.489686,72.978742,105.818293,36.603017,-2237.749549,2.912336
0.020000,104.943285,291.978563,75.091491,105.637473,-9.040976,-2282.199648,2.903973
0.020000,102.907216,292.479889,77.188371,104.844010,-39.673171,-1531.609767,2.896509
0.020000,100.894824,292.990403,79.264508,103.806820,-51.859477,-609.315279,2.889920
0.020000,98.906192,293.507971,81.319389,102.744053,-53.138339,-63.943096,2.884162
0.020000,96.941379,294.030597,83.352521,101.656638,-54.370769,-61.621510,2.879197
0.020000,95.000426,294.556419,85.363438,100.545822,-55.540781,-58.500589,2.874985
0.020000,93.083364,295.083701,87.351692,99.412723,-56.654985,-55.710214,2.871491
0.020000,91.190213,295.610828,89.316860,98.258380,-57.717154,-53.108456,2.868679
0.020000,89.320995,296.136299,91.258533,97.083676,-58.735170,-50.900818,2.866517
0.020000,87.475730,296.658725,93.176326,95.889648,-59.701416,-48.312280,2.864973
0.020000,85.654443,297.176819,95.069870,94.677164,-60.624188,-46.138604,2.864016
0.020000,83.857166,297.689395,96.938810,93.447023,-61.507049,-44.143055,2.863619
0.020000,82.083940,298.195361,98.782810,92.199978,-62.352247,-42.259897,2.863753
0.020000,80.334816,298.693716,100.601544,90.936707,-63.163576,-40.566458,2.864391
0.020000,78.609858,299.183545,102.394700,89.657812,-63.944738,-39.058074,2.865510
0.020000,76.909148,299.664014,104.161977,88.363835,-64.698837,-37.704955,2.867083
0.020000,75.232777,300.134369,105.903084,87.055346,-65.424456,-36.280934,2.869087
0.020000,73.580857,300.593929,107.617737,85.732649,-66.134836,-35.519011,2.871498
0.020000,71.953513,301.042086,109.305662,84.396277,-66.818600,-34.188200,2.874296
0.020000,70.350890,301.478301,110.966591,83.046440,-67.491883,-33.664146,2.877457
0.020000,68.773147,301.902100,112.600261,81.683514,-68.146275,-32.719599,2.880960
0.020000,67.220462,302.313073,114.206415,80.307697,-68.790875,-32.229991,2.884785
0.020000,65.693025,302.710871,115.784803,78.919374,-69.416121,-31.262322,2.888910
0.020000,64.191049,303.095204,117.335171,77.518421,-70.047675,-31.577709,2.893315
0.020000,62.714754,303.465838,118.857280,76.105462,-70.647949,-30.013691,2.897981
0.020000,61.264382,303.822592,120.350884,74.680201,-71.263055,-30.755287,2.902887
0.020000,59.840183,304.165339,121.815745,73.243052,-71.857422,-29.718351,2.908014
0.020000,58.442422,304.494001,123.251627,71.794064,-72.449391,-29.598486,2.913343
0.020000,57.071377,304.808547,124.658290,70.333175,-73.044476,-29.754212,2.918854
0.020000,55.727334,305.108994,126.035505,68.860755,-73.620974,-28.824932,2.924529
