dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.451821,17.316916,0.000641,0.064103,3.205128,160.256410,0.000332
0.020000,5.451821,17.316916,0.003205,0.192308,6.410256,160.256410,0.000180
0.020000,5.453902,17.316915,0.008333,0.320513,6.410256,-0.000000,6.283063
0.020000,5.461594,17.316913,0.016026,0.448718,6.410256,0.000000,6.282612
0.020000,5.471851,17.316904,0.026282,0.576923,6.410256,0.000000,6.282019
0.020000,5.484671,17.316884,0.039103,0.705128,6.410256,-0.000000,6.281287
0.020000,5.500056,17.316848,0.054487,0.833333,6.410256,0.000000,6.280424
0.020000,5.518004,17.316790,0.072436,0.961538,6.410256,0.000000,6.279438
0.020000,5.538517,17.316702,0.092949,1.089744,6.410256,0.000000,6.278339
0.020000,5.561594,17.316576,0.116026,1.217949,6.410256,-0.000000,6.277137
0.020000,5.587234,17.316404,0.141667,1.346154,6.410256,0.000000,6.275846
0.020000,5.615438,17.316178,0.169872,1.474359,6.410256,0.000000,6.274478
0.020000,5.646206,17.315888,0.200641,1.602564,6.410256,-0.000000,6.273048
0.020000,5.679538,17.315525,0.233974,1.730769,6.410256,0.000000,6.271573
0.020000,5.715432,17.315081,0.269872,1.858974,6.410256,0.000000,6.270069
0.020000,5.753890,17.314547,0.308333,1.987179,6.410256,-0.000000,6.268555
0.020000,5.794911,17.313916,0.349359,2.115385,6.410256,0.000000,6.267051
0.020000,5.838494,17.313180,0.392949,2.243590,6.410256,-0.000000,6.265578
0.020000,5.884641,17.312334,0.439103,2.371795,6.410256,0.000000,6.264158
0.020000,5.933349,17.311373,0.487821,2.500000,6.410256,0.000000,6.262814
0.020000,5.984620,17.310296,0.539103,2.628205,6.410256,0.000000,6.261570
0.020000,6.038453,17.309101,0.592949,2.756410,6.410256,0.000000,6.260452
0.020000,6.094848,17.307791,0.649359,2.884615,6.410256,-0.000000,6.259488
0.020000,6.153805,17.306369,0.708333,3.012821,6.410256,0.000000,6.258705
0.020000,6.215324,17.304844,0.769872,3.141026,6.410256,-0.000000,6.258132
0.020000,6.279407,17.303226,0.833974,3.269231,6.410256,0.000000,6.257801
0.020000,6.346052,17.301531,0.900641,3.397436,6.410256,0.000000,6.257744
0.020000,6.415260,17.299776,0.969872,3.525641,6.410256,-0.000000,6.257994
0.020000,6.487033,17.297987,1.041667,3.653846,6.410256,-0.000000,6.258586
0.020000,6.561370,17.296192,1.116026,3.782051,6.410256,0.000000,6.259558
0.020000,6.638273,17.294426,1.192949,3.910256,6.410256,0.000000,6.260949
0.020000,6.717742,17.292729,1.272436,4.038462,6.410256,0.000000,6.262799
0.020000,6.799778,17.291150,1.354487,4.166667,6.410256,0.000000,6.265151
0.020000,6.884382,17.289743,1.439103,4.294872,6.410256,-0.000000,6.268052
0.020000,6.971553,17.288573,1.526282,4.423077,6.410256,0.000000,6.271548
0.020000,7.061293,17.287710,1.616026,4.551282,6.410256,-0.000000,6.275691
0.020000,7.153599,17.287237,1.708333,4.679487,6.410256,0.000000,6.280535
0.020000,7.248471,17.287246,1.803205,4.807692,6.410256,-0.000000,0.002951
0.020000,7.345905,17.287841,1.900641,4.935897,6.410256,0.000000,0.009371
0.020000,7.445255,17.289127,2.000000,5.000000,3.205128,-160.256410,0.016625
0.020000,7.545234,17.291185,2.100000,5.000000,0.000000,-160.256410,0.024659
0.020000,7.645191,17.294083,2.200000,5.000000,0.000000,0.000000,0.033441
0.020000,7.745118,17.297897,2.300000,5.000000,0.000000,0.000000,0.042986
0.020000,7.845002,17.302703,2.400000,5.000000,0.000000,0.000000,0.053307
0.020000,7.944829,17.308579,2.500000,5.000000,0.000000,0.000000,0.064419
0.020000,8.044581,17.315604,2.600000,5.000000,0.000000,0.000000,0.076335
0.020000,8.144239,17.323858,2.700000,5.000000,0.000000,0.000000,0.089069
0.020000,8.243780,17.333422,2.800000,5.000000,0.000000,0.000000,0.102633
0.020000,8.343178,17.344376,2.900000,5.000000,0.000000,0.000000,0.117039
0.020000,8.442401,17.356804,3.000000,5.000000,0.000000,0.000000,0.132296
0.020000,8.541418,17.370786,3.100000,5.000000,0.000000,0.000000,0.148412
0.020000,8.640190,17.386404,3.200000,5.000000,0.000000,0.000000,0.165390
