dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.452159,16.296082,0.000641,0.064103,3.205128,160.256410,0.000332
0.020000,5.452004,16.296082,0.000796,0.007755,-2.817377,-301.125237,0.000180
0.020000,5.453777,16.296082,0.002569,0.088629,4.043678,343.052716,6.283063
0.020000,5.461010,16.296080,0.009801,0.361633,13.650211,480.326646,6.282612
0.020000,5.470660,16.296071,0.019452,0.482510,6.043871,-380.316992,6.282019
0.020000,5.482733,16.296053,0.031525,0.603668,6.057871,0.700031,6.281287
0.020000,5.497237,16.296019,0.046029,0.725180,6.075616,0.887232,6.280424
0.020000,5.514179,16.295964,0.062971,0.847114,6.096705,1.054455,6.279438
0.020000,5.533570,16.295880,0.082362,0.969541,6.121366,1.233053,6.278339
0.020000,5.555420,16.295761,0.104212,1.092521,6.148998,1.381592,6.277137
0.020000,5.579742,16.295598,0.128535,1.216132,6.180517,1.575927,6.275846
0.020000,5.606550,16.295383,0.155343,1.340432,6.215017,1.724993,6.274478
0.020000,5.635858,16.295107,0.184653,1.465486,6.252706,1.884457,6.273048
0.020000,5.667683,16.294760,0.216480,1.591357,6.293548,2.042093,6.271573
0.020000,5.702043,16.294335,0.250843,1.718118,6.338023,2.223751,6.270069
0.020000,5.738956,16.293823,0.287759,1.845816,6.384907,2.344226,6.268555
0.020000,5.778441,16.293215,0.327249,1.974523,6.435377,2.523486,6.267051
0.020000,5.820521,16.292505,0.369335,2.104297,6.488675,2.664911,6.265578
0.020000,5.865218,16.291685,0.414039,2.235199,6.545129,2.822684,6.264158
0.020000,5.912554,16.290752,0.461385,2.367285,6.604278,2.957479,6.262814
0.020000,5.962556,16.289701,0.511397,2.500624,6.666938,3.132988,6.261570
0.020000,6.015248,16.288532,0.564103,2.635268,6.732236,3.264906,6.260452
0.020000,6.070659,16.287244,0.619529,2.771288,6.800996,3.437977,6.259488
0.020000,6.128817,16.285842,0.677703,2.908743,6.872757,3.588055,6.258705
0.020000,6.189752,16.284331,0.738657,3.047700,6.947822,3.753253,6.258132
0.020000,6.253496,16.282722,0.802422,3.188228,7.026429,3.930374,6.257801
0.020000,6.320083,16.281028,0.869030,3.330400,7.108582,4.107614,6.257744
0.020000,6.389546,16.279267,0.938516,3.474292,7.194596,4.300719,6.257994
0.020000,6.461924,16.277463,1.010916,3.619986,7.284679,4.504168,6.258586
0.020000,6.537253,16.275644,1.086267,3.767569,7.379175,4.724803,6.259558
0.020000,6.615575,16.273845,1.164610,3.917136,7.478324,4.957443,6.260949
0.020000,6.696932,16.272108,1.245985,4.068790,7.582720,5.219768,6.262799
0.020000,6.781370,16.270483,1.330438,4.222641,7.692532,5.490618,6.265151
0.020000,6.868934,16.269027,1.418014,4.378808,7.808372,5.792007,6.268052
0.020000,6.959674,16.267808,1.508763,4.537431,7.931142,6.138475,6.271548
0.020000,7.053643,16.266905,1.602736,4.698643,8.060628,6.474308,6.275691
0.020000,7.150893,16.266408,1.699988,4.862607,8.198157,6.876464,6.280535
0.020000,7.251483,16.266418,1.800578,5.029487,8.344046,7.294449,0.002951
0.020000,7.355471,16.267053,1.904567,5.199472,8.499226,7.758981,0.009371
0.020000,7.462225,16.268434,2.011331,5.338184,6.935604,-78.181096,0.016625
0.020000,7.570404,16.270662,2.119532,5.410048,3.593192,-167.120575,0.024659
0.020000,7.679323,16.273820,2.228497,5.448260,1.910607,-84.129251,0.033441
0.020000,7.788986,16.278006,2.338240,5.487168,1.945386,1.738939,0.042986
0.020000,7.899395,16.283320,2.448776,5.526796,1.981414,1.801420,0.053307
