dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.680661,25.841676,0.000641,0.064103,3.205128,160.256410,0.001815
0.020000,2.681051,25.841677,0.001031,0.019514,-2.229420,-271.727430,0.001433
0.020000,2.681831,25.841677,0.001811,0.038998,0.974215,160.181770,0.000669
0.020000,2.686200,25.841677,0.006180,0.218456,8.972885,399.933522,6.282709
0.020000,2.698012,25.841662,0.017992,0.590577,18.606065,481.658975,6.281186
0.020000,2.712772,25.841619,0.032752,0.738014,7.371835,-561.711515,6.279286
0.020000,2.730478,25.841529,0.050458,0.885305,7.364537,-0.364859,6.277012
0.020000,2.751126,25.841375,0.071107,1.032410,7.355243,-0.464701,6.274367
0.020000,2.774710,25.841131,0.094693,1.179308,7.344901,-0.517139,6.271356
0.020000,2.801227,25.840773,0.121212,1.325966,7.332888,-0.600644,6.267984
0.020000,2.830670,25.840270,0.150659,1.472357,7.319570,-0.665873,6.264256
0.020000,2.863032,25.839591,0.183028,1.618438,7.304051,-0.775946,6.260177
0.020000,2.898304,25.838702,0.218311,1.764167,7.286437,-0.880705,6.255755
0.020000,2.936477,25.837563,0.256502,1.909514,7.267379,-0.952936,6.250997
0.020000,2.977541,25.836136,0.297590,2.054441,7.246353,-1.051297,6.245912
0.020000,3.021484,25.834379,0.341569,2.198912,7.223530,-1.141137,6.240508
0.020000,3.068293,25.832246,0.388426,2.342880,7.198390,-1.256975,6.234795
0.020000,3.117954,25.829691,0.438152,2.486302,7.171111,-1.363958,6.228783
0.020000,3.170449,25.826666,0.490735,2.629140,7.141919,-1.459603,6.222486
0.020000,3.225763,25.823121,0.546162,2.771352,7.110563,-1.567827,6.215913
0.020000,3.283875,25.819006,0.604420,2.912891,7.076980,-1.679128,6.209080
0.020000,3.344766,25.814269,0.665494,3.053715,7.041170,-1.790508,6.201999
0.020000,3.408411,25.808855,0.729370,3.193782,7.003388,-1.889114,6.194686
0.020000,3.474789,25.802713,0.796031,3.333048,6.963284,-2.005184,6.187156
0.020000,3.543872,25.795788,0.865460,3.471474,6.921288,-2.099787,6.179426
0.020000,3.615634,25.788027,0.937640,3.609010,6.876833,-2.222779,6.171513
0.020000,3.690045,25.779378,1.012553,3.745622,6.830581,-2.312582,6.163435
0.020000,3.767076,25.769786,1.090178,3.881279,6.782852,-2.386469,6.155211
0.020000,3.846694,25.759202,1.170497,4.015934,6.732721,-2.506527,6.146861
0.020000,3.928867,25.747575,1.253488,4.149563,6.681478,-2.562174,6.138405
0.020000,4.013560,25.734855,1.339131,4.282120,6.627843,-2.681721,6.129863
0.020000,4.100737,25.720998,1.427402,4.413584,6.573191,-2.732610,6.121258
0.020000,4.190362,25.705957,1.518281,4.543941,6.517850,-2.767073,6.112610
0.020000,4.282399,25.689691,1.611744,4.673159,6.460910,-2.846967,6.103942
0.020000,4.376810,25.672160,1.707769,4.801220,6.403068,-2.892126,6.095278
0.020000,4.473556,25.653328,1.806331,4.928090,6.343496,-2.978594,6.086639
0.020000,4.572599,25.633162,1.907406,5.053785,6.284749,-2.937339,6.078050
0.020000,4.673902,25.611632,2.010972,5.178271,6.224291,-3.022888,6.069533
0.020000,4.777427,25.588711,2.117003,5.301583,6.165603,-2.934395,6.061113
0.020000,4.882459,25.564536,2.224782,5.388932,4.367421,-89.909105,6.052864
0.020000,4.987629,25.539431,2.332907,5.406248,0.865832,-175.079460,6.044905
0.020000,5.092263,25.513590,2.440685,5.388888,-0.867993,-86.691250,6.037286
0.020000,5.196368,25.487056,2.548118,5.371655,-0.861680,0.315623,6.030004
0.020000,5.299952,25.459868,2.655210,5.354624,-0.851520,0.508021,6.023056
0.020000,5.403023,25.432067,2.761966,5.337761,-0.843144,0.418816,6.016439
0.020000,5.505591,25.403689,2.868386,5.321035,-0.836319,0.341260,6.010149
0.020000,5.607665,25.374774,2.974477,5.304521,-0.825682,0.531846,6.004182
0.020000,5.709255,25.345358,3.080240,5.288167,-0.817743,0.396941,5.998537
0.020000,5.810372,25.315476,3.185679,5.271966,-0.810006,0.386817,5.993208
0.020000,5.911026,25.285164,3.290799,5.255962,-0.800216,0.489542,5.988193
0.020000,6.011228,25.254457,3.395600,5.240090,-0.793630,0.329298,5.983489
0.020000,6.110990,25.223387,3.500088,5.224394,-0.784796,0.441681,5.979093
0.020000,6.210322,25.191988,3.604265,5.208847,-0.777346,0.372493,5.975001
0.020000,6.309236,25.160292,3.708134,5.193428,-0.770936,0.320513,5.971212
0.020000,6.407744,25.128330,3.811697,5.178171,-0.762865,0.403526,5.967721
0.020000,6.505857,25.096134,3.914957,5.163008,-0.758135,0.236519,5.964527
0.020000,6.603586,25.063733,4.017917,5.147994,-0.750698,0.371848,5.961628
0.020000,6.700942,25.031158,4.120579,5.133069,-0.746250,0.222397,5.959021
0.020000,6.797937,24.998439,4.222944,5.118255,-0.740708,0.277112,5.956704
0.020000,6.894582,24.965603,4.325014,5.103525,-0.736502,0.210272,5.954676
0.020000,6.990887,24.932680,4.426792,5.088874,-0.732545,0.197894,5.952934
0.020000,7.086864,24.899698,4.528278,5.074294,-0.728981,0.178180,5.951479
0.020000,7.182523,24.866685,4.629473,5.059767,-0.726358,0.131137,5.950308
0.020000,7.277874,24.833668,4.730379,5.045292,-0.723742,0.130787,5.949421
0.020000,7.372928,24.800675,4.830996,5.030847,-0.722258,0.074223,5.948816
0.020000,7.467694,24.767732,4.931324,5.016431,-0.720820,0.071885,5.948494
0.020000,7.562182,24.734867,5.031365,5.002024,-0.720314,0.025295,5.948455
0.020000,7.656401,24.702106,5.131117,4.987620,-0.720227,0.004374,5.948697
0.020000,7.750361,24.669476,5.230581,4.973209,-0.720568,-0.017044,5.949222
0.020000,7.844069,24.637003,5.329757,4.958771,-0.721900,-0.066609,5.950030
0.020000,7.937535,24.604713,5.428643,4.944308,-0.723137,-0.061869,5.951121
0.020000,8.030766,24.572633,5.527239,4.929793,-0.725746,-0.130420,5.952497
0.020000,8.123770,24.540789,5.625544,4.915232,-0.728028,-0.114120,5.954157
0.020000,8.216554,24.509207,5.723555,4.900598,-0.731695,-0.183337,5.956105
0.020000,8.309126,24.477914,5.821273,4.885894,-0.735209,-0.175683,5.958340
0.020000,8.401491,24.446935,5.918695,4.871101,-0.739651,-0.222143,5.960866
0.020000,8.493656,24.416296,6.015820,4.856209,-0.744624,-0.248603,5.963683
